(13,2,822251,'Yes'),
(14,14,43991,'Yes'),
(15,14,331868,'Yes'),
(16,4,561978,'Yes'),
(17,13,101636,'Yes'),
(18,2,300080,'Yes'),
(19,1,777546,'Yes'),
(20,9,547053,'Yes'),
(21,13,58451,'Yes'),
(22,3,860946,'Yes'),
(23,1,296646,'Yes'),
(24,7,271920,'Yes'),
(25,9,686537,'Yes'),
(26,9,371804,'Yes'),
(27,5,796097,'Yes'),
(28,11,999426,'Yes'),
(29,12,371995,'Yes'),
(30,7,587227,'Yes'),
(31,12,734073,'Yes'),
(32,14,151574,'Yes'),
(33,3,865351,'Yes'),
(34,15,943384,'Yes'),
(35,8,289961,'Yes'),
(36,8,673393,'Yes'),
(37,8,762766,'Yes'),
(38,10,865077,'Yes'),
(39,14,890429,'Yes'),
(40,9,298756,'Yes'),
(41,2,549515,'Yes'),
(42,7,813198,'Yes'),
(43,8,825555,'Yes'),
(44,8,233687,'Yes'),
(45,5,149991,'Yes'),
(46,9,754721,'Yes'),
(47,6,302099,'Yes'),
(48,9,619536,'Yes'),
(49,12,967818,'Yes'),
(50,12,395967,'Yes'),
(51,7,335240,'Yes'),
(52,1,811786,'Yes'),
(53,8,604661,'Yes'),
(54,6,980244,'Yes'),
(55,4,507157,'Yes'),
(56,9,265133,'Yes'),
(57,2,35333,'Yes'),
(58,14,387801,'Yes'),
(59,14,444042,'Yes'),
(60,1,75022,'Yes'),
(61,13,402280,'Yes'),
(62,9,209836,'Yes'),
(63,11,891140,'Yes'),
(64,8,805478,'Yes'),
(65,14,704541,'Yes'),
(66,15,438609,'Yes'),
(67,3,406679,'Yes'),
(68,6,414911,'Yes'),
(69,15,802946,'Yes'),
(70,12,489324,'Yes'),
(71,15,482757,'Yes'),
(72,13,600204,'Yes'),
(73,13,948237,'Yes'),
(74,6,534642,'Yes'),
(75,11,12625,'Yes'),
(76,9,787626,'Yes'),
(77,2,523982,'Yes'),
(78,6,135620,'Yes'),
(79,15,154449,'Yes'),
(80,5,915576,'Yes'),
(81,9,891647,'Yes'),
(82,12,178216,'Yes'),
(83,4,807791,'Yes'),
(84,3,792094,'Yes'),
(85,9,672116,'Yes'),
(86,13,127410,'Yes'),
(87,11,826340,'Yes'),
(88,11,844808,'Yes'),
(89,12,827237,'Yes'),
(90,1,926726,'Yes'),
(91,5,893543,'Yes'),
(92,14,922556,'Yes'),
(93,2,650342,'Yes'),
(94,9,266508,'Yes'),
(95,13,794034,'Yes'),
(96,1,283188,'Yes'),
(97,6,889218,'Yes'),
(98,8,88861,'Yes'),
(99,8,782167,'Yes'),
(100,4,242224,'Yes'),
(101,15,37873,'Yes'),
(102,6,733138,'Yes'),
(103,5,938127,'Yes'),
(104,8,405070,'Yes'),
(105,9,37226,'Yes'),
(106,2,192155,'Yes'),
(107,8,468524,'Yes'),
(108,13,11771,'Yes'),
(109,6,705060,'Yes'),
(110,3,920710,'Yes'),
(111,8,734416,'Yes'),
(112,14,358706,'Yes'),
(113,10,262080,'Yes'),
(114,3,540067,'Yes'),
(115,12,259532,'Yes'),
(116,14,706204,'Yes'),
(117,11,753889,'Yes'),
(118,15,619184,'Yes'),
(119,2,967993,'Yes'),
(120,13,33106,'Yes'),
(121,9,641962,'Yes'),
(122,9,567145,'Yes'),
(123,7,263575,'Yes'),
